ticker,nome,setor,prob_alta,sinal,acuracia,auc,pr_auc,f1,threshold,modelo_usado,base_pr,auc_lr,pr_auc_lr,auc_lgb,pr_auc_lgb,n_pregoes,score
TIMS3.SA,TIM S.A.,Telecomunicações,0.4964,NEUTRO,0.4346,0.5422,0.6186,0.0114,0.5200,LightGBM,0.5654,0.5164,0.5673,0.5422,0.6186,2039,0.5430
TEND3.SA,Construtora Tenda S.A.,Construção e Imóveis,0.5533,COMPRAR,0.4837,0.4884,0.6019,0.3471,0.5200,LightGBM,0.5654,0.4855,0.5681,0.4884,0.6019,2039,0.5428
PSSA3.SA,Porto Seguro S.A.,Financeiro e Bancos,0.5064,NEUTRO,0.4771,0.5395,0.6030,0.1111,0.5200,LightGBM,0.5458,0.5198,0.5608,0.5395,0.6030,2039,0.5421
SAPR11.SA,Companhia de Saneamento do Paraná - SANEPAR,Saneamento,0.6144,COMPRAR,0.4935,0.4651,0.5340,0.6229,0.5200,LogReg,0.5294,0.4651,0.5340,0.4397,0.4922,2039,0.5421
USIM5.SA,Usinas Siderúrgicas de Minas Gerais S.A.,Mineração e Siderurgia,0.5612,COMPRAR,0.5327,0.5477,0.5017,0.4066,0.5200,LogReg,0.4771,0.5477,0.5017,0.4820,0.4586,2039,0.5416
TASA4.SA,Taurus Armas S.A.,Agronegócio,0.5329,COMPRAR,0.5490,0.5645,0.5220,0.4480,0.5200,LightGBM,0.4575,0.5254,0.4857,0.5645,0.5220,2039,0.5412
CYRE3.SA,Cyrela Brazil Realty S.A. Empreendimentos e Participações,Construção e Imóveis,0.5116,NEUTRO,0.4771,0.5232,0.6110,0.4521,0.5200,LightGBM,0.5850,0.5188,0.6098,0.5232,0.6110,2039,0.5405
LREN3.SA,Lojas Renner S.A.,Varejo e Consumo,0.5190,NEUTRO,0.4967,0.5357,0.5756,0.1895,0.5200,LightGBM,0.5294,0.5213,0.5418,0.5357,0.5756,2039,0.5390
DIRR3.SA,Direcional Engenharia S.A.,Construção e Imóveis,0.4662,AGUARDAR,0.5229,0.5550,0.6215,0.5101,0.5200,LogReg,0.5850,0.5550,0.6215,0.4673,0.5818,2039,0.5361
UGPA3.SA,Ultrapar Participações S.A.,Petróleo e Gás,0.5293,COMPRAR,0.4673,0.5240,0.5518,0.0000,0.5200,LightGBM,0.5327,0.5170,0.5451,0.5240,0.5518,2039,0.5331
RADL3.SA,Raia Drogasil S.A.,Saúde e Farmácia,0.5280,COMPRAR,0.5098,0.5384,0.5330,0.5283,0.5200,LightGBM,0.4902,0.5207,0.5126,0.5384,0.5330,2039,0.5329
SBSP3.SA,Companhia de Saneamento Básico do Estado de São Paulo - SABESP,Saneamento,0.5107,NEUTRO,0.5065,0.5285,0.5670,0.3734,0.5200,LightGBM,0.5294,0.5107,0.5434,0.5285,0.5670,2039,0.5310
TAEE11.SA,Transmissora Aliança de Energia Elétrica S.A.,Energia Elétrica,0.5383,COMPRAR,0.4967,0.5177,0.5379,0.1250,0.5200,LightGBM,0.5131,0.4898,0.5189,0.5177,0.5379,2039,0.5310
SOJA3.SA,Boa Safra Sementes S.A.,Agronegócio,0.5196,NEUTRO,0.5410,0.5456,0.5277,0.5800,0.5200,LogReg,0.5082,0.5456,0.5277,0.5345,0.5377,1218,0.5307
CPFE3.SA,CPFL Energia S.A.,Energia Elétrica,0.5219,COMPRAR,0.4706,0.5109,0.5635,0.0899,0.5200,LightGBM,0.5327,0.5030,0.5388,0.5109,0.5635,2039,0.5284
MGLU3.SA,Magazine Luiza S.A.,Varejo e Consumo,0.5170,NEUTRO,0.5163,0.5202,0.5569,0.4308,0.5200,LogReg,0.5098,0.5202,0.5569,0.4897,0.5079,2039,0.5281
SANB11.SA,Banco Santander (Brasil) S.A.,Financeiro e Bancos,0.4862,AGUARDAR,0.4706,0.5450,0.5660,0.0122,0.5200,LightGBM,0.5294,0.5383,0.5544,0.5450,0.5660,2039,0.5268
JHSF3.SA,JHSF Participações S.A.,Construção e Imóveis,0.4825,AGUARDAR,0.4837,0.5321,0.5871,0.1596,0.5200,LogReg,0.5425,0.5321,0.5871,0.5170,0.5645,2039,0.5260
BMOB3.SA,Bemobi Mobile Tech S.A.,Tecnologia,0.4212,AGUARDAR,0.4555,0.5938,0.5954,0.0189,0.5200,LogReg,0.5393,0.5938,0.5954,0.4827,0.5310,1270,0.5252
ENEV3.SA,Eneva S.A.,Energia Elétrica,0.4564,AGUARDAR,0.4641,0.5474,0.5879,0.2336,0.5200,LogReg,0.5490,0.5474,0.5879,0.5114,0.5598,2039,0.5211
HYPE3.SA,Hypera S.A.,Saúde e Farmácia,0.4730,AGUARDAR,0.4542,0.5335,0.5722,0.0000,0.5200,LightGBM,0.5458,0.4884,0.5364,0.5335,0.5722,2039,0.5190
TGMA3.SA,Tegma Gestão Logística S.A.,Logística e Transporte,0.5094,NEUTRO,0.4641,0.5193,0.5312,0.2545,0.5200,LightGBM,0.5359,0.4576,0.5113,0.5193,0.5312,2039,0.5183
SMFT3.SA,Smartfit Escola de Ginástica e Dança S.A.,Alimentos e Bebidas,0.5031,NEUTRO,0.5000,0.5445,0.5017,0.0833,0.5200,LightGBM,0.4886,0.5054,0.5172,0.5445,0.5017,1167,0.5172
CSAN3.SA,Cosan S.A.,Petróleo e Gás,0.5139,NEUTRO,0.5359,0.5243,0.5101,0.5203,0.5200,LogReg,0.4771,0.5243,0.5101,0.4735,0.4690,2039,0.5166
KLBN11.SA,Klabin S.A.,Papel e Celulose,0.4961,NEUTRO,0.5131,0.5377,0.5166,0.0000,0.5200,LightGBM,0.4869,0.4968,0.4752,0.5377,0.5166,2039,0.5158
MULT3.SA,Multiplan Empreendimentos Imobiliários S.A.,Shopping e Imóveis Comerciais,0.4817,AGUARDAR,0.4771,0.5153,0.5690,0.2661,0.5200,LogReg,0.5556,0.5153,0.5690,0.4266,0.5338,2039,0.5153
BRAP4.SA,Bradespar S.A.,Mineração e Siderurgia,0.4640,AGUARDAR,0.5327,0.5320,0.5701,0.5627,0.5200,LightGBM,0.5523,0.5302,0.5689,0.5320,0.5701,2039,0.5143
PRIO3.SA,Prio S.A.,Petróleo e Gás,0.5042,NEUTRO,0.5098,0.5025,0.5468,0.5968,0.5200,LightGBM,0.5196,0.4851,0.5322,0.5025,0.5468,2039,0.5143
ALPA4.SA,Alpargatas S.A.,Varejo e Consumo,0.4932,NEUTRO,0.4641,0.5182,0.5395,0.2679,0.5200,LightGBM,0.5261,0.5010,0.5173,0.5182,0.5395,2039,0.5135
EQTL3.SA,Equatorial S.A.,Energia Elétrica,0.4338,AGUARDAR,0.5229,0.5671,0.5640,0.3048,0.5200,LogReg,0.5033,0.5671,0.5640,0.5448,0.5371,2039,0.5130
LAND3.SA,Terra Santa Propriedades Agrícolas S.A.,Agronegócio,0.4519,AGUARDAR,0.5376,0.5702,0.5300,0.0000,0.5200,LightGBM,0.4624,0.4695,0.5030,0.5702,0.5300,1148,0.5128
GRND3.SA,Grendene S.A.,Varejo e Consumo,0.4892,AGUARDAR,0.5425,0.5522,0.4934,0.0000,0.5200,LightGBM,0.4575,0.5334,0.5075,0.5522,0.4934,2039,0.5123
FIQE3.SA,Unifique Telecomunicações S.A.,Telecomunicações,0.4217,AGUARDAR,0.4770,0.5453,0.6091,0.0421,0.5200,LightGBM,0.5345,0.5010,0.5444,0.5453,0.6091,1156,0.5118
VALE3.SA,Vale S.A.,Mineração e Siderurgia,0.4716,AGUARDAR,0.5196,0.5208,0.5627,0.5243,0.5200,LightGBM,0.5359,0.5044,0.5380,0.5208,0.5627,2039,0.5116
BEEF3.SA,Minerva S.A.,Alimentos e Bebidas,0.5164,NEUTRO,0.5425,0.5209,0.4910,0.4697,0.5200,LogReg,0.4902,0.5209,0.4910,0.4771,0.4758,2039,0.5116
ECOR3.SA,EcoRodovias Infraestrutura e Logística S.A.,Logística e Transporte,0.4272,AGUARDAR,0.5588,0.5633,0.5728,0.4747,0.5200,LogReg,0.5065,0.5633,0.5728,0.4986,0.5216,2039,0.5112
SLCE3.SA,SLC Agrícola S.A.,Alimentos e Bebidas,0.5199,NEUTRO,0.4641,0.5004,0.5021,0.2743,0.5200,LogReg,0.5065,0.5004,0.5021,0.4963,0.4895,2039,0.5086
HAPV3.SA,Hapvida Participações e Investimentos S.A.,Saúde e Farmácia,0.4933,NEUTRO,0.5850,0.5610,0.4576,0.0000,0.5200,LightGBM,0.4150,0.5036,0.4236,0.5610,0.4576,1960,0.5080
SUZB3.SA,Suzano S.A.,Papel e Celulose,0.4935,NEUTRO,0.5588,0.5387,0.4706,0.2012,0.5200,LogReg,0.4281,0.5387,0.4706,0.5007,0.4226,2039,0.5036
EGIE3.SA,Engie Brasil Energia S.A.,Energia Elétrica,0.4730,AGUARDAR,0.4837,0.5080,0.5453,0.2685,0.5200,LogReg,0.5229,0.5080,0.5453,0.4336,0.4919,2039,0.5033
